track_name,artist_name,album_name,release_date,duration,song_popularity,album_img,track_uri,artist_uri,album_uri
Besitos,Pierce The Veil,Selfish Machines,2010-06-21,262800,51,https://i.scdn.co/image/ab67616d0000b2735eae69bbe37d5f382155e387,spotify:track:5OhLBEgXp9TPGlnFw5pXeK,spotify:artist:4iJLPqClelZOBCBifm8Fzv,spotify:album:01dcOm8Whefyve6zChrq9Q
Eagle vs. Crows,Dance Gavin Dance,Instant Gratification,2015-04-10,176933,40,https://i.scdn.co/image/ab67616d0000b273fc52f6fc7dca9af16569fb2b,spotify:track:0augziIKImeQunsf8k6Jdv,spotify:artist:6guC9FqvlVboSKTI77NG2k,spotify:album:75Z98z7kl42oWcT0UvtO6e
Legend,Dance Gavin Dance,Instant Gratification,2015-04-10,204560,40,https://i.scdn.co/image/ab67616d0000b273fc52f6fc7dca9af16569fb2b,spotify:track:7kGJbdeGOPP9V5jtvE9AUc,spotify:artist:6guC9FqvlVboSKTI77NG2k,spotify:album:75Z98z7kl42oWcT0UvtO6e
On The Run,Dance Gavin Dance,Instant Gratification,2015-04-10,253973,44,https://i.scdn.co/image/ab67616d0000b273fc52f6fc7dca9af16569fb2b,spotify:track:0RXKYa6WpyIft96HFM37Gd,spotify:artist:6guC9FqvlVboSKTI77NG2k,spotify:album:75Z98z7kl42oWcT0UvtO6e
Uneasy Hearts Weigh The Most,Dance Gavin Dance,Dance Gavin Dance,2008-08-19,218453,59,https://i.scdn.co/image/ab67616d0000b27371cccf2f5576ba82350e376d,spotify:track:5oC0AAgJ7RoWOT3HznLMe1,spotify:artist:6guC9FqvlVboSKTI77NG2k,spotify:album:12mJ1euri9hLMgGTT6RdQL
NASA,Dance Gavin Dance,Happiness,2009-06-09,215066,45,https://i.scdn.co/image/ab67616d0000b273f1f2620dc0ba4eba18daeffe,spotify:track:469RsVygmeb4b4uDiSeuao,spotify:artist:6guC9FqvlVboSKTI77NG2k,spotify:album:2uEHtF7phOSbrXdKUes5GL
Death Of A Strawberry,Dance Gavin Dance,Instant Gratification,2015-04-10,250973,58,https://i.scdn.co/image/ab67616d0000b273fc52f6fc7dca9af16569fb2b,spotify:track:0ZcQUwVyXgpUepJsvgOYgk,spotify:artist:6guC9FqvlVboSKTI77NG2k,spotify:album:75Z98z7kl42oWcT0UvtO6e
Sambuka,Pierce The Veil,Misadventures,2016-05-13,156493,47,https://i.scdn.co/image/ab67616d0000b273feef5b9537d7b52555a42f17,spotify:track:5VwT1QS8kMSvxkr6ctzEIM,spotify:artist:4iJLPqClelZOBCBifm8Fzv,spotify:album:4wIX07SiESzMbSLCK3qCWQ
Bedless,Pierce The Veil,Misadventures,2016-05-13,284666,53,https://i.scdn.co/image/ab67616d0000b273feef5b9537d7b52555a42f17,spotify:track:3bkkbLyK4GIeg4wxIz4ajY,spotify:artist:4iJLPqClelZOBCBifm8Fzv,spotify:album:4wIX07SiESzMbSLCK3qCWQ
A Toast to the future kids!,Emarosa,Emarosa,2010-06-28,228986,48,https://i.scdn.co/image/ab67616d0000b27364aeb99b8dacb45e9fac05e4,spotify:track:7jDZIM59S1utHXZcmYSEYx,spotify:artist:68tKVjVvcqUfKFFLr2j0Ek,spotify:album:1OlewCHNhDBcQBqzXhNws5
Share the sunshine young blood,Emarosa,Emarosa,2010-06-28,180586,39,https://i.scdn.co/image/ab67616d0000b27364aeb99b8dacb45e9fac05e4,spotify:track:4iVqBz8oREM0jZ3fIkzhvF,spotify:artist:68tKVjVvcqUfKFFLr2j0Ek,spotify:album:1OlewCHNhDBcQBqzXhNws5
Pick Up The Phone,Falling In Reverse,The Drug In Me Is You,2011-07-26,277626,57,https://i.scdn.co/image/ab67616d0000b2732a4546ed22694f4297f6bdb9,spotify:track:7DhSMsvYduvpvWaTBC2HMH,spotify:artist:2CmaKO2zEGJ1NWpS1yfVGz,spotify:album:1KwwS07TEbKS8r1rU4UUe4
Gospel Burnout,Dance Gavin Dance,Artificial Selection,2018-06-08,248608,41,https://i.scdn.co/image/ab67616d0000b2734e58254b9df774aed7401178,spotify:track:0l5nI3XRiv2fGrceyqj5pW,spotify:artist:6guC9FqvlVboSKTI77NG2k,spotify:album:6rBnEJJUih41OU4AemGs4y
Son of Robot,Dance Gavin Dance,Artificial Selection,2018-06-08,238984,54,https://i.scdn.co/image/ab67616d0000b2734e58254b9df774aed7401178,spotify:track:3ZH8mv5AfnCUY7pxbO52uu,spotify:artist:6guC9FqvlVboSKTI77NG2k,spotify:album:6rBnEJJUih41OU4AemGs4y
Calling All Cars,Senses Fail,Still Searching,2006-10-10,203573,58,https://i.scdn.co/image/ab67616d0000b273fca30bef0df01042344e1b52,spotify:track:4LtUNqSiFZzm70a7kM8hnc,spotify:artist:591yCCsZCLXvaJ0Rg38vLZ,spotify:album:76avO7AfsTAMe4dvVV3Wwj
Can't Be Saved,Senses Fail,Still Searching,2006-10-10,187546,62,https://i.scdn.co/image/ab67616d0000b273fca30bef0df01042344e1b52,spotify:track:63k8KXOgawK2cNtvm2ZW8y,spotify:artist:591yCCsZCLXvaJ0Rg38vLZ,spotify:album:76avO7AfsTAMe4dvVV3Wwj
